path,title,order,section,description
"/intro","Introduction",1,"Welcome","Workshop Introduction"
"/docker-ecosystem","Docker Ecosystem",1,"Working with Docker","Docker ecosysetm and building blocks"
"/create-docker-image","How to Create Docker Image",2,"Working with Docker",
"/docker-ecosystem","Docker Ecosystem",2,"Working with Docker","Docker Hands On"
"/virtualization","History of Virtualization",2,"Overview","History of Virtualization"
"/containers","Containers",3,"Overview","Introduction to containers"
"/docker","Docker",4,"Overview","Introduction to Docker"
